user_id,current_service
015R7bnaYKIwkuml,89950166
016A9lCinPzaXOxJ,99999830
019qHoyiSDWT5UVh,89950166
01aFvKABDJH8jRwG,89950166
01g7INDbeZJkf5GP,89950166
01hKzNsF5veITbqc,89950166
01qPc978XDaWrGov,89950166
01QU6gNsCdoIAJOc,89950166
01Uk3LJ5KXHcefdY,89950166
01WE4UNLkCsurBd5,89950166
01whdbDNSjxkVsEC,89950166
021dLbqZpOTt5iYB,99999830
02c6SAHKk1Ji8lpM,89950166
02C9DphH7VsMuJ5o,89950166
02cDCMEWdVlQja5B,89950166
02HPcsbfM3yG4rUR,89950166
02Mk3eXgU6tajbDH,89950166
02nguDOtaQb7E8oi,89950166
02QkcspygoIrl6CV,89950166
02vMk46iF5hUyLnf,89950166
032CLD9n1fKXyajI,99999830
03EtmVTp1XoUBwla,89950166
03MBYnWxKPGRiIVh,89950166
03MdO9wkhoWZqxsb,89950166
03MuHxEDyflJdTgI,89950166
03n7idprz1oU5wY6,89950166
03rz8ZF2EoCeyP4f,99999830
03XugAxYQlHSKNOJ,89950166
03yiXVFYpRh7U8Da,89950166
043pQrcF5PRW2GyT,89950166
04EuqDGS7IcONyPa,99999830
04fZhevOJFTYdXQr,89950166
04GoxYf9K6mibPNH,89950166
04j8J2cXMef5W9Gk,89950166
04jGmBMbP9d7YcKt,99999830
04kAtzO7syuZco6w,89950166
04P2heRqlzUBZa7r,89950166
04PYLDc17pBjwvT5,89950166
04qNtnpmR1eaYQSz,99999830
04UOQoXLVwrB7j8A,89950166
04V8ue3JdrBWD1MX,89950166
04yvTUwAaprPqBZl,89950166
0521FLyaMUqpCVNl,89950166
05brNdyVzPq36Dlv,89950166
05crgYiSmylI1kwe,89950166
05ElkWINpa7w4LBF,89950166
05eOh4trn1b9WDfC,89950166
05Iy41jb6EtLlCDW,99999830
05kubP6EWrnYwzX2,89950166
05ledIg4OR2MpcXh,99999830
05oukltFisaEey6C,89950166
05pU9wO1q3uIVAXF,99999830
064rB8hiwSIRyxDa,89950166
06bDcdFf5ruih1Pz,89950166
06ePXFnBoqgQKGZp,89950166
06FUKzuspAoXi9Tk,99999830
06GinOcAwsg4pflW,89950166
06HQAYFur9g2zyEl,89950166
06IOGD5znUSVrM7A,89950166
